contrato,vigencia,fornecedor,modalidade,processo,valor_inicial,objeto,ano,ano_processo,mes_vigencia,ano_mes_vigencia,categoria,fornecedor_limpo,modalidade_limpa;
"292/2025,2027-07-24,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,09 - INEXIGIBILIDADE,328/2025,250000.0,""Contratação da EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS, para prestação de serviços postais das Autuações de Trânsito e Notificações de Penalidades, em atendimento à Junta Administrativa de Recursos de Infrações – JARI, para o período de 12 (doze) meses, no valor global estimado de R$ 250.000,00 (duzentos e cinquenta mil reais), tendo como fonte de receita, Recursos Vinculados ao Trânsito, nos termos do art. 74 inciso I, da Lei Federal nº 14.133/21."",2025,2025,7,2027-07,Comunicação e Publicações,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,INEXIGIBILIDADE";
"290/2025,2026-12-29,PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA,09 - INEXIGIBILIDADE,182/2025,3546400.0,""Credenciamento de pessoa jurídica para fornecer serviços de consultas médicas, no território de Coronel Fabriciano, em conformidade com a “Tabela de Procedimentos, Medicamentos, Órteses e Próteses e Materiais Especiais (OPM) do Sistema Único de Saúde - SUS” - GRUPO 02 - SUBGRUPO 1 - CONSULTAS, ATENDIMENTOS E ACOMPANHAMENTOS, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS 009/2025,tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Estadual e Recursos não Vinculados de Impostos."",2025,2025,12,2026-12,Tecnologia,PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA,INEXIGIBILIDADE";
"289/2025,2026-12-29,PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA,09 - INEXIGIBILIDADE,182/2025,2970000.0,""Credenciamento de pessoa jurídica para fornecer serviços de consultas médicas, no território de Coronel Fabriciano, em conformidade com a “Tabela de Procedimentos, Medicamentos, Órteses e Próteses e Materiais Especiais (OPM) do Sistema Único de Saúde - SUS” - GRUPO 02 - SUBGRUPO 1 - CONSULTAS, ATENDIMENTOS E ACOMPANHAMENTOS, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS 009/2025,tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal, Estadual e Recursos não Vinculados de Impostos."",2025,2025,12,2026-12,Tecnologia,PRO-SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA,INEXIGIBILIDADE";
"288/2025,2027-02-01,CASTRO & MENDES MEDICINA INTEGRADA LTDA [44.935.753,09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,CASTRO & MENDES MEDICINA INTEGRADA LTDA,INEXIGIBILIDADE";
"287/2025,2027-02-01,RAFAELA CARVALHO SL SERVICOS MEDICOS LTDA.,09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,RAFAELA CARVALHO SL SERVICOS MEDICOS LTDA.,INEXIGIBILIDADE";
"286/2025,2027-02-01,LETÍCIA BISSIATO FEDERICI LTDA [54.555.670/0001-01],09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,LETÍCIA BISSIATO FEDERICI LTDA,INEXIGIBILIDADE";
"285/2025,2027-02-01,JULIO CEZAR BOAVENTURA FREITAS LTDA [59.672.542/0001-,09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de"",2025,2025,2,2027-02,Saúde,JULIO CEZAR BOAVENTURA FREITAS LTDA,INEXIGIBILIDADE";
"284/2025,2027-02-01,ID SAUDE LTDA [61.242.817/0001-60],09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,ID SAUDE LTDA,INEXIGIBILIDADE";
"283/2025,2027-02-01,TL CARVALHO SERVICOS MEDICOS LTDA [53.344.541/0001-,09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,TL CARVALHO SERVICOS MEDICOS LTDA,INEXIGIBILIDADE";
"282/2025,2027-02-01,SERV-SAU SERVICOS MEDICOS LTDA [61.922.304/0001-09],09 - INEXIGIBILIDADE,313/2025,5568000.0,""Credenciamento de pessoa jurídica para fornecer serviços de Consultas Médicas, no território de Coronel Fabriciano, com valores diferenciados aprovados pelo Conselho Municipal de Saúde, por meio da Resolução CMS nº 007/2023, tendo como fonte de receita, Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual e Recursos não Vinculados de Impostos."",2025,2025,2,2027-02,Saúde,SERV-SAU SERVICOS MEDICOS LTDA,INEXIGIBILIDADE";
